MSA_title,Population,Armed_Rob_Count,County Code
C2306,2216014,81,18003
C2318,434806,12,42078
C2338,357280,2,39143
C2342,5859677,39,6019
C2346,618339,12,1055
C2350,338932,3,45021
C2354,1674529,22,24042
C2358,1170161,5,13139
C2366,307276,2,17095
C2378,221817,1,20055
C2386,367766,3,45043
C2398,261715,2,21009
C2402,388362,1,36113
C2410,323979,2,36035
C2414,744741,18,37191
C2422,422881,4,38035
C2430,899228,3,8077
C2434,5519934,70,52220
C2438,163099,1,35006
C2442,511299,5,41033
C2450,492058,1,30013
C2454,1746499,4,8123
C2458,1678353,8,110070
C2464,424731,4,25011
C2466,4524849,133,111389
C2474,285291,4,28151
C2478,1061635,42,37147
C2482,311285,1,39037
C2486,5275821,61,180188
C2490,182026,1,28083
C2494,420310,1,45047
C2498,128273,3,28043
C2506,2340674,41,84151
C2518,1577214,12,78046
C2522,778200,9,22105
C2530,172824,1,29127
C2542,3123194,40,84084
C2546,223979,1,5009
C2550,793457,3,102825
C2554,6280236,65,18016
C2562,820072,18,56108
C2570,173395,1,20051
C2578,267027,4,37181
C2584,460913,2,41059
C2586,2188115,12,148088
C2590,1181252,2,15001
C2594,1253504,57,90066
C2598,377253,6,13179
C2609,690325,1,26005
C2614,856903,2,12017
C2622,138734,3,41027
C2630,586961,7,5051
C2638,1264708,7,44166
C2642,39650272,576,337265
C2646,367383,1,36021
C2654,219104,1,18069
C2658,1312240,20,201240
C2662,2689436,130,2172
C2666,425514,3,48471
C2670,109762,1,46005
C2682,836726,2,32070
C2690,11103543,246,144730
C2698,872710,9,19103
C2706,625700,1,36109
C2710,955527,6,26075
C2714,3305177,90,140415
C2718,587432,22,47113
C2726,8615024,153,48248
C2734,1137832,7,37133
C2746,782401,6,36013
C2750,970433,7,55105
C2762,268942,1,29027
C2774,869087,8,94350
C2778,814158,1,42021
C2786,629868,21,5031
C2790,1063809,4,58242
C2792,213162,2,20061
C2798,986711,2,15009
C2802,2017070,12,52236
C2806,584345,1,30029
C2810,664011,5,17091
C2814,11724588,93,176747
C2818,428043,1,15007
C2826,293710,1,31019
C2834,285543,1,18113
C2838,184028,1,29069
C2842,1694901,6,106026
C2858,462086,3,12087
C2866,2486474,33,96126
C2870,1383382,9,145756
C2874,1078827,5,36111
C2878,190055,1,48273
C2882,345671,13,37107
C2894,5085079,69,376552
C2902,495595,4,18067
C2906,363711,4,33001
C2910,707562,7,55063
C2918,2927028,43,110313
C2920,1120768,13,18157
C2930,418110,19,13285
C2934,1197446,21,22019
C2938,413162,3,12023
C2946,3968380,29,12105
C2954,3224504,30,42071
C2962,2377614,26,52110
C2970,1620786,13,48479
C2974,1288739,10,35013
C2978,167846,1,35047
C2982,12803740,119,32003
C2986,409810,3,28067
C2990,212257,3,37165
C2994,710629,3,20045
C3002,738702,7,40031
C3014,828843,9,42075
C3022,139883,1,48219
C3028,192480,1,47117
C3034,644926,3,23001
C3046,2899928,147,105677
C3062,624366,2,39003
C3070,1846566,44,31109
C3078,3796153,136,15289
C3082,236055,1,42035
C3086,730294,1,49005
C3088,205274,4,54045
C3094,576715,3,42360
C3098,741155,10,48183
C3108,79689559,165,12096
C3114,6174396,138,99513
C3118,1833190,41,96608
C3126,526134,5,48005
C3130,801470,16,37155
C3134,1460186,13,204739
C3142,1045002,81,39389
C3146,931194,6,6039
C3154,3723657,77,165091
C3158,275751,2,21107
C3170,2448552,32,33011
C3174,447053,5,20161
C3186,397541,3,27013
C3190,728217,4,39139
C3194,245027,1,55075
C3198,405038,2,18053
C3200,270656,1,37111
C3210,402044,2,26103
C3222,400889,1,48203
C3228,203042,1,47183
C3230,390804,6,102779
C3258,5065816,5,48215
C3262,238726,1,28113
C3278,1284969,6,41029
C3282,7182624,226,108318
C3290,1614146,6,6047
C3294,527976,51,56144
C3310,36194334,336,36196
C3314,663660,2,18091
C3322,501060,1,26111
C3326,1002082,4,96646
C3330,272280,2,13009
C3334,8914218,294,165343
C3346,19961320,104,352966
C3350,415549,2,38101
C3354,691034,4,30063
C3362,149813,1,29175
C3366,2487145,70,1097
C3370,3235150,10,6099
C3374,1071386,20,44184
C3378,899064,4,26115
C3386,2241493,46,4238
C3398,413419,1,37031
C3402,312355,1,22101
C3406,828908,13,108138
C3410,382143,2,47063
C3422,275356,14,13071
C3434,435046,1,37171
C3438,424657,2,26073
C3442,196239,1,48449
C3446,166235,1,21173
C3450,229990,1,17081
C3458,738554,1,53057
C3462,696969,11,18035
C3466,230773,2,21035
C3470,257499,4,19139
C3474,1036831,14,26121
C3478,416893,6,40101
C3482,1897438,77,45051
C3486,393392,1,48347
C3494,2162228,13,12021
C3498,10135374,230,377074
C3502,188524,6,28001
C3506,234325,4,22069
C3510,698247,10,74186
C3514,228403,1,45071
C3526,526733,2,42073
C3530,5157964,89,9009
C3538,7301126,469,132496
C3542,555269,1,39157
C3544,285908,2,41041
C3562,120083388,720,847146
C3566,927531,6,26021
C3584,4664881,51,24196
C3590,412236,1,37193
C3598,1625307,7,9011
C3610,2083133,32,12083
C3614,566511,1,34009
C3622,939391,9,48135
C3626,2029460,1,49011
C3630,662078,1,36089
C3638,241404,4,12093
C3642,7401850,119,160236
C3646,467279,2,36009
C3650,1640004,7,53067
C3654,5058944,114,112540
C3658,363387,2,36077
C3662,182862,1,41045
C3666,501155,7,22097
C3670,532553,20,45075
C3674,14500452,250,48378
C3678,1019918,6,55139
C3682,133527,1,19123
C3690,211007,1,19179
C3698,596904,5,21059
C3702,411644,2,26155
C3706,320365,5,28071
